group_id,order,version,,,,,,,,,,,,,,,
C1,1,Z1,0,,,,,,,,,,,,,,
C1,1,U2,1,,,,,,,,,,,,,,
C1,1,C1,0°,,,,,,,,,,,,,,
C2,2,Z2,0,1,,,,,,,,,,,,,
C2,2,U3,1,2,,,,,,,,,,,,,
C2,2,U4,1,3,,,,,,,,,,,,,
C2,2,U6,1,5,,,,,,,,,,,,,
C2,2,C2,0°,180°,,,,,,,,,,,,,
C3,3,Z3,0,1,2,,,,,,,,,,,,
C3,3,C3,0°,120°,240°,,,,,,,,,,,,
C4,4,Z4,0,1,2,3,,,,,,,,,,,
C4,4,C4,0°,90°,180°,270°,,,,,,,,,,,
C4,4,U5,1,2,4,3,,,,,,,,,,,
C4,4,U10,1,7,9,3,,,,,,,,,,,
C2xC2,4,V,e,r,v,h,,,,,,,,,,,
C2xC2,4,Z2xZ2,00,10,11,01,,,,,,,,,,,
C2xC2,4,U8,1,3,5,7,,,,,,,,,,,
C2xC2,4,U12,1,5,7,11,,,,,,,,,,,
C5,5,Z5,0,1,2,3,4,,,,,,,,,,
C5,5,C5,0°,72°,144°,216°,288°,,,,,,,,,,
C6,6,Z6,0,1,2,3,4,5,,,,,,,,,
C6,6,C6,0°,60°,120°,180°,240°,300°,,,,,,,,,
C6,6,U7,1,3,2,6,4,5,,,,,,,,,
C6,6,U14,1,3,9,13,11,5,,,,,,,,,
C6,6,U9,1,2,4,8,7,5,,,,,,,,,
C6,6,U18,1,11,13,17,7,5,,,,,,,,,
D6,6,D6,e,r,r²,f,rf,r²f,,,,,,,,,
D6,6,S3,e,123,321,12,13,23,,,,,,,,,
C7,7,Z7,0,1,2,3,4,5,6,,,,,,,,
C8,8,Z8,0,1,2,3,4,5,6,7,,,,,,,
Q8,8,Q8,1,i,-1,-i,j,k,-j,-k,,,,,,,
D8,8,D8,e,r,r²,r³,f,rf,r²f,r³f,,,,,,,
C4xC2,8,Z4xZ2,00,10,20,30,01,11,21,31,,,,,,,
C4xC2,8,U15,1,2,4,8,11,7,14,13,,,,,,,
C4xC2,8,U16,1,3,9,11,7,5,15,13,,,,,,,
C2xC2xC2,8,Z2xZ2xZ2,000,100,010,110,001,101,011,111,,,,,,,
C2xC2xC2,8,U24,1,5,7,11,13,17,19,23,,,,,,,
C9,9,Z9,0,1,2,3,4,5,6,7,8,,,,,,
C3xC3,9,C3xC3,00,10,20,01,11,21,02,12,22,,,,,,
C10,10,Z10,0,1,2,3,4,5,6,7,8,9,,,,,
C10,10,U11,1,2,4,8,5,10,9,7,3,6,,,,,
C10,10,U22,1,7,5,13,3,21,15,17,9,19,,,,,
D10,10,D10,e,r,r²,r³,r⁴,f,rf,r²f,r³f,r⁴f,,,,,
C11,11,Z11,0,1,2,3,4,5,6,7,8,9,10,,,,
C12,12,Z12,0,1,2,3,4,5,6,7,8,9,10,11,,,
C12,12,U13,1,2,4,8,3,6,12,11,9,5,10,7,,,
C12,12,U26,1,15,17,21,3,19,25,11,9,5,23,7,,,
C6xC2,12,C6xC2,00,10,20,30,40,50,01,11,21,31,41,51,,,
C6xC2,12,U21,1,2,4,8,16,11,20,19,17,13,5,10,,,
C6xC2,12,U28,1,3,9,27,24,19,13,11,5,15,17,23,,,
C6xC2,12,U36,1,5,25,17,13,29,35,31,11,19,23,7,,,
C6xC2,12,U42,1,23,25,29,37,11,41,19,17,13,5,31,,,
D12,12,D12,e,r,r²,r³,r⁴,r⁵,f,rf,r²f,r³f,r⁴f,r⁵f,,,
Q12,12,Q12,1,ζ,ζ²,-1,-ζ,-ζ²,j,ζj,ζ²j,-j,-ζj,-ζ²j,,,
A4,12,A4,e,(12)(34),(13)(24),(14)(23),123,243,142,134,132,143,234,124,,,
C13,13,Z13,0,1,2,3,4,5,6,7,8,9,10,11,12,,
C14,14,Z14,0,1,2,3,4,5,6,7,8,9,10,11,12,13,
D14,14,D14,e,r,r²,r³,r⁴,r⁵,r⁶,f,rf,r²f,r³f,r⁴f,r⁵f,r⁶f,
C15,15,Z15,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14