group_id,word,replacement
C1,a,
C2,aa,
C3,aaa,
C4,aaaa,
C2xC2,bb,
C2xC2,aa,
C2xC2,ba,ab
C5,aaaaa,
C6,aaaaaa,
D6,ff,
D6,rrr,
D6,fr,rrf
C7,aaaaaaa,
C8,aaaaaaaa,
D8,ff,
D8,rrrr,
D8,fr,rrrf
Q8,jj,ii
Q8,iiii,
Q8,ji,iiij
C4xC2,bb,
C4xC2,aaaa,
C4xC2,ba,ab
C2xC2xC2,cc,
C2xC2xC2,bb,
C2xC2xC2,aa,
C2xC2xC2,ba,ab
C2xC2xC2,cb,bc
C2xC2xC2,ca,ac
C9,aaaaaaaaa,
C3xC3,bbb,
C3xC3,aaa,
C3xC3,ba,ab
C10,aaaaaaaaaa,
D10,ff,
D10,rrrrr,
D10,fr,rrrrf
C11,aaaaaaaaaaa,
C12,aaaaaaaaaaaa,
C6xC2,bb,
C6xC2,aaaaaa,
C6xC2,ba,ab
D12,ff,
D12,rrrrrr,
D12,fr,rrrrrf
Q12,jj,iii
Q12,iiiiii,
Q12,ji,iiiiij
A4,ccc,
A4,bb,
A4,aa,
A4,ba,ab
A4,ca,abc
A4,cb,ac
C13,aaaaaaaaaaaaa,
C14,aaaaaaaaaaaaaa,
D14,ff,
D14,rrrrrrr,
D14,fr,rrrrrrf
C15,aaaaaaaaaaaaaaa,